Continent,Species Distribution,Status,Order,FAMILY,Genus,Species,binomial,Unique ID,LogMass,Combined Mass (g),Comments: endangerment,Ref for Mass,IUCN status,Total Length,tail length,Ref for Length,comment,comment,trophic,ref for trophic,habitat mode
AF,,extant,Artiodactyla,Bovidae,Litocranius,walleri,Litocranius walleri,AF_extant_Litocranius walleri,4.58,37999.685,hunting_ habitat loss,63_ 70,LR,,,,,,Browse,t1,terr
AF,,extant,Hyracoidea,Procaviidae,Dendrohyrax,arboreus,Dendrohyrax arboreus,AF_extant_Dendrohyrax arboreus,3.47,2949.986,,65,,,,,,,Browse,t1,terr
AF,,extant,Artiodactyla,Bovidae,Dorcatragus,megalotis,Dorcatragus megalotis,AF_extant_Dorcatragus megalotis,4.011,10249.909,habitat loss,65,VU,,,,,,Browse,t1,terr
AF,,extant,Hyracoidea,Procaviidae,Dendrohyrax,dorsalis,Dendrohyrax dorsalis,AF_extant_Dendrohyrax dorsalis,3.502,3175,Added in by KJ and ME,68,,,,,,,Browse,t1,terr
AF,,extant,Rodentia,Sciuridae,Xerus,princeps,Xerus princeps,AF_extant_Xerus princeps,2.803,636,,234,,,,,,,browse/frug,t1,terr
AF,,extant,Artiodactyla,Bovidae,Sylvicapra,grimmia,Sylvicapra grimmia,AF_extant_Sylvicapra grimmia,4.29,19499.793,,63_ 70,,,,,,,browse/frug,t1,terr
AF,,extant,Artiodactyla,Bovidae,Neotragus,pygmaeus,Neotragus pygmaeus,AF_extant_Neotragus pygmaeus,3.602,4000,hunting_ habitat loss,60,LR,,,,,,browse/frug,t1,terr
AF,Zaire_ Uganda_ Burundia,extant,Rodentia,Muridae,Thamnomys,kempi,Thamnomys kempi,AF_extant_Thamnomys kempi,1.875,75,,70,,,,,,,browse/frug,t1,terr
AF,,extant,Rodentia,Hystricidae,Hystrix,cristata,Hystrix cristata,AF_extant_Hystrix cristata,4.301,20000,,60_ 130,LR,765,40,130,WT:20000,,browse/frug,t1,terr
AF,,extant,Rodentia,Muridae,Thallomys,nigricauda,Thallomys nigricauda,AF_extant_Thallomys nigricauda,2.096,124.7,Added in by KJ and ME,-999,,,,,,,browse/frug,t1,terr
AF,,extant,Rodentia,Muridae,Thamnomys,venustus,Thamnomys venustus,AF_extant_Thamnomys venustus,1.792,61.875,61.875,135,,,,,,,browse/frug,t1,terr
AF,,extant,Rodentia,Muridae,Thallomys,paedulcus,Thallomys paedulcus,AF_extant_Thallomys paedulcus,1.906,80.501,,60,,,,,,,browse/frug,t1,terr
AF,,extant,Rodentia,Sciuridae,Xerus,inauris,Xerus inauris,AF_extant_Xerus inauris,2.723,529,,274,,,,,,,browse/frug,t1,terr
AF,,extant,Rodentia,Sciuridae,Xerus,rutilus,Xerus rutilus,AF_extant_Xerus rutilus,2.502,317.497,,63_ 70,,,,,,,browse/frug,t1,terr
AF,,extant,Hyracoidea,Procaviidae,Heterohyrax,brucei,Heterohyrax brucei,AF_extant_Heterohyrax brucei,3.419,2625.004,,65,VU,,,,,,browse/frug,t1,terr
AF,,extinct,Artiodactyla,Suidae,Metridiochoerus,compactus,Metridiochoerus compactus,AF_extinct_Metridiochoerus compactus,5.152,142000,,2,,,,,,,browse/frug/carn,,terr
AF,Ethiopia_ Sudan_ Zaire_ South Africa_ Botswana_ Angola,extant,Artiodactyla,Suidae,Potamochoerus,larvatus,Potamochoerus larvatus,AF_extant_Potamochoerus larvatus,4.989,97500,,70,,,,,,,browse/frug/ginsect,t1,terr
AF,,extant,Artiodactyla,Suidae,Potamochoerus,porcus,Potamochoerus porcus,AF_extant_Potamochoerus porcus,4.845,70000.316,,63_ 70,,,,,,,browse/frug/ginsect,t1,terr
AF,,extinct,Perissodactyla,Rhinocerotidae,Stephanorhinus,kirchbergensis,Stephanorhinus kirchbergensis,AF_extinct_Stephanorhinus kirchbergensis,6.301,2000000,,2_ 9_ 10,,,,,,,Browse/graze,Paleoecological reconstruction of a lower Pleistocene large mammal community using biogeochemical ([sigma]^sup 13^C_ [sigma]^sup 15^N_ [sigma]^sup 13^O_ Sr: Zn) and ecomorphological approaches,terr
AF,,extant,Artiodactyla,Bovidae,Capra,walie,Capra walie,AF_extant_Capra walie,5,100000,hunting_ habitat loss_ restricted range,-999,CR,,,,,,browse/graze,t1,terr
AF,,extant,Artiodactyla,Bovidae,Gazella,granti,Gazella granti,AF_extant_Gazella granti,4.74,54999.659,hunting_ habitat loss,63_ 70,LR,,,,,,browse/graze,t1,terr
AF,,extant,Artiodactyla,Bovidae,Tragelaphus,angasii,Tragelaphus angasii,AF_extant_Tragelaphus angasii,4.938,86600.42,,60,LR,,,,,,browse/graze,t1,terr
AF,,extant,Artiodactyla,Bovidae,Tragelaphus,spekii,Tragelaphus spekii,AF_extant_Tragelaphus spekii,4.892,77999.173,hunting_ habitat loss,63_ 70,LR,,,,,,browse/graze,t1,terr
AF,,extant,Artiodactyla,Bovidae,Capra,ibex,Capra ibex,AF_extant_Capra ibex,5.004,100999.681,,65,,,,,,,browse/graze,t1,terr
AF,,extant,Artiodactyla,Bovidae,Tragelaphus,eurycerus,Tragelaphus eurycerus,AF_extant_Tragelaphus eurycerus,5.517,329003.108,hunting_ habitat loss,60,LR,,,,,,browse/graze,t1,terr
AF,,extant,Artiodactyla,Bovidae,Tragelaphus,buxtoni,Tragelaphus buxtoni,AF_extant_Tragelaphus buxtoni,5.332,215000.762,restricted range,65,EN,,,,,,browse/graze,t1,terr
AF,,extant,Artiodactyla,Bovidae,Gazella,soemmerringii,Gazella soemmerringii,AF_extant_Gazella soemmerringii,4.602,40000.001,hunting_ habitat loss,63_ 70,VU,,,,,,browse/graze,t1,terr
AF,,extant,Artiodactyla,Bovidae,Taurotragus,derbianus,Taurotragus derbianus,AF_extant_Taurotragus derbianus,5.833,680000,Added in by KJ and ME,68,LR,,,,,,browse/graze,t1,terr
AF,,extant,Artiodactyla,Bovidae,Capra,nubiana,Capra nubiana,AF_extant_Capra nubiana,4.898,78999.681,hunting_ habitat loss_ pollution_ tourism_ changes in competitors,70,EN,,,,,,browse/graze,t1,terr
